currency,code,value,date
jen (Japonia),JPY,0.032269,2022-11-02
korona czeska,CZK,0.1921,2022-11-02
korona duńska,DKK,0.6319,2022-11-02
korona islandzka,ISK,0.03278,2022-11-02
korona norweska,NOK,0.4597,2022-11-02
korona szwedzka,SEK,0.4314,2022-11-02
kuna (Chorwacja),HRK,0.6244,2022-11-02
lej rumuński,RON,0.9579,2022-11-02
lew (Bułgaria),BGN,2.405,2022-11-02
lira turecka,TRY,0.255,2022-11-02
nowy izraelski szekel,ILS,1.3427,2022-11-02
peso chilijskie,CLP,0.005033,2022-11-02
peso filipińskie,PHP,0.0814,2022-11-02
peso meksykańskie,MXN,0.2411,2022-11-02
rand (Republika Południowej Afryki),ZAR,0.2621,2022-11-02
real (Brazylia),BRL,0.9232,2022-11-02
ringgit (Malezja),MYR,1.0022,2022-11-02
rupia indonezyjska,IDR,0.00030347,2022-11-02
rupia indyjska,INR,0.057363,2022-11-02
won południowokoreański,KRW,0.003356,2022-11-02
yuan renminbi (Chiny),CNY,0.6525,2022-11-02
SDR (MFW),XDR,6.0801,2022-11-02
bat (Tajlandia),THB,0.1271,2022-11-03
dolar amerykański,USD,4.8291,2022-11-03
dolar australijski,AUD,3.0375,2022-11-03
dolar Hongkongu,HKD,0.6152,2022-11-03
dolar kanadyjski,CAD,3.5081,2022-11-03
dolar nowozelandzki,NZD,2.7845,2022-11-03
dolar singapurski,SGD,3.397,2022-11-03
euro,EUR,4.7101,2022-11-03
forint (Węgry),HUF,0.011499,2022-11-03
frank szwajcarski,CHF,4.7697,2022-11-03
funt szterling,GBP,5.433,2022-11-03
hrywna (Ukraina),UAH,0.1258,2022-11-03
jen (Japonia),JPY,0.032578,2022-11-03
korona czeska,CZK,0.192,2022-11-03
korona duńska,DKK,0.6329,2022-11-03
korona islandzka,ISK,0.032732,2022-11-03
korona norweska,NOK,0.4555,2022-11-03
korona szwedzka,SEK,0.4307,2022-11-03
kuna (Chorwacja),HRK,0.6249,2022-11-03
lej rumuński,RON,0.9608,2022-11-03
lew (Bułgaria),BGN,2.4082,2022-11-03
lira turecka,TRY,0.2593,2022-11-03
nowy izraelski szekel,ILS,1.3522,2022-11-03
peso chilijskie,CLP,0.005112,2022-11-03
peso filipińskie,PHP,0.0819,2022-11-03
peso meksykańskie,MXN,0.2455,2022-11-03
rand (Republika Południowej Afryki),ZAR,0.2624,2022-11-03
real (Brazylia),BRL,0.9388,2022-11-03
ringgit (Malezja),MYR,1.0179,2022-11-03
rupia indonezyjska,IDR,0.00030766,2022-11-03
rupia indyjska,INR,0.058269,2022-11-03
won południowokoreański,KRW,0.003384,2022-11-03
yuan renminbi (Chiny),CNY,0.6599,2022-11-03
SDR (MFW),XDR,6.1008,2022-11-03
bat (Tajlandia),THB,0.1277,2022-11-04
dolar amerykański,USD,4.7975,2022-11-04
dolar australijski,AUD,3.0486,2022-11-04
dolar Hongkongu,HKD,0.6112,2022-11-04
dolar kanadyjski,CAD,3.5159,2022-11-04
dolar nowozelandzki,NZD,2.793,2022-11-04
dolar singapurski,SGD,3.3886,2022-11-04
euro,EUR,4.6898,2022-11-04
forint (Węgry),HUF,0.011639,2022-11-04
frank szwajcarski,CHF,4.7523,2022-11-04
funt szterling,GBP,5.3825,2022-11-04
hrywna (Ukraina),UAH,0.1258,2022-11-04
jen (Japonia),JPY,0.032461,2022-11-04
korona czeska,CZK,0.1917,2022-11-04
korona duńska,DKK,0.6301,2022-11-04
korona islandzka,ISK,0.032277,2022-11-04
korona norweska,NOK,0.4563,2022-11-04
korona szwedzka,SEK,0.4312,2022-11-04
kuna (Chorwacja),HRK,0.6223,2022-11-04
lej rumuński,RON,0.9579,2022-11-04
lew (Bułgaria),BGN,2.3978,2022-11-04
lira turecka,TRY,0.2576,2022-11-04
nowy izraelski szekel,ILS,1.3461,2022-11-04
peso chilijskie,CLP,0.005079,2022-11-04
peso filipińskie,PHP,0.0818,2022-11-04
peso meksykańskie,MXN,0.2449,2022-11-04
rand (Republika Południowej Afryki),ZAR,0.2631,2022-11-04
real (Brazylia),BRL,0.9377,2022-11-04
ringgit (Malezja),MYR,1.0104,2022-11-04
rupia indonezyjska,IDR,0.00030485,2022-11-04
rupia indyjska,INR,0.058179,2022-11-04
won południowokoreański,KRW,0.003382,2022-11-04
yuan renminbi (Chiny),CNY,0.661,2022-11-04
SDR (MFW),XDR,6.1223,2022-11-04
