currency,code,value,date
real (Brazylia),BRL,0.8617,2022-11-22
ringgit (Malezja),MYR,1.001,2022-11-22
rupia indonezyjska,IDR,0.00029206,2022-11-22
rupia indyjska,INR,0.056125,2022-11-22
won południowokoreański,KRW,0.003387,2022-11-22
yuan renminbi (Chiny),CNY,0.6425,2022-11-22
SDR (MFW),XDR,5.9915,2022-11-22
bat (Tajlandia),THB,0.1255,2022-11-23
dolar amerykański,USD,4.548,2022-11-23
dolar australijski,AUD,3.0257,2022-11-23
dolar Hongkongu,HKD,0.5818,2022-11-23
dolar kanadyjski,CAD,3.3972,2022-11-23
dolar nowozelandzki,NZD,2.8098,2022-11-23
dolar singapurski,SGD,3.2888,2022-11-23
euro,EUR,4.6958,2022-11-23
forint (Węgry),HUF,0.011572,2022-11-23
frank szwajcarski,CHF,4.7807,2022-11-23
funt szterling,GBP,5.4205,2022-11-23
hrywna (Ukraina),UAH,0.1258,2022-11-23
jen (Japonia),JPY,0.032176,2022-11-23
korona czeska,CZK,0.1928,2022-11-23
korona duńska,DKK,0.6314,2022-11-23
korona islandzka,ISK,0.032053,2022-11-23
korona norweska,NOK,0.4532,2022-11-23
korona szwedzka,SEK,0.4295,2022-11-23
kuna (Chorwacja),HRK,0.6226,2022-11-23
lej rumuński,RON,0.9507,2022-11-23
lew (Bułgaria),BGN,2.4009,2022-11-23
lira turecka,TRY,0.2441,2022-11-23
nowy izraelski szekel,ILS,1.3154,2022-11-23
peso chilijskie,CLP,0.004909,2022-11-23
peso filipińskie,PHP,0.0798,2022-11-23
peso meksykańskie,MXN,0.2343,2022-11-23
rand (Republika Południowej Afryki),ZAR,0.2641,2022-11-23
real (Brazylia),BRL,0.8486,2022-11-23
ringgit (Malezja),MYR,0.9941,2022-11-23
rupia indonezyjska,IDR,0.00028993,2022-11-23
rupia indyjska,INR,0.055568,2022-11-23
won południowokoreański,KRW,0.003363,2022-11-23
yuan renminbi (Chiny),CNY,0.6357,2022-11-23
SDR (MFW),XDR,5.9749,2022-11-23
bat (Tajlandia),THB,0.1261,2022-11-24
dolar amerykański,USD,4.5101,2022-11-24
dolar australijski,AUD,3.0411,2022-11-24
dolar Hongkongu,HKD,0.5775,2022-11-24
dolar kanadyjski,CAD,3.379,2022-11-24
dolar nowozelandzki,NZD,2.8206,2022-11-24
dolar singapurski,SGD,3.2823,2022-11-24
euro,EUR,4.6993,2022-11-24
forint (Węgry),HUF,0.01134,2022-11-24
frank szwajcarski,CHF,4.7808,2022-11-24
funt szterling,GBP,5.4542,2022-11-24
hrywna (Ukraina),UAH,0.1258,2022-11-24
jen (Japonia),JPY,0.032547,2022-11-24
korona czeska,CZK,0.193,2022-11-24
korona duńska,DKK,0.6319,2022-11-24
korona islandzka,ISK,0.032033,2022-11-24
korona norweska,NOK,0.4532,2022-11-24
korona szwedzka,SEK,0.4313,2022-11-24
kuna (Chorwacja),HRK,0.6227,2022-11-24
lej rumuński,RON,0.9525,2022-11-24
lew (Bułgaria),BGN,2.4027,2022-11-24
lira turecka,TRY,0.2421,2022-11-24
nowy izraelski szekel,ILS,1.3192,2022-11-24
peso chilijskie,CLP,0.004921,2022-11-24
peso filipińskie,PHP,0.0796,2022-11-24
peso meksykańskie,MXN,0.2332,2022-11-24
rand (Republika Południowej Afryki),ZAR,0.2656,2022-11-24
real (Brazylia),BRL,0.8415,2022-11-24
ringgit (Malezja),MYR,1.0034,2022-11-24
rupia indonezyjska,IDR,0.0002879,2022-11-24
rupia indyjska,INR,0.055262,2022-11-24
won południowokoreański,KRW,0.003394,2022-11-24
yuan renminbi (Chiny),CNY,0.6318,2022-11-24
SDR (MFW),XDR,5.9571,2022-11-24
bat (Tajlandia),THB,0.1259,2022-11-25
dolar amerykański,USD,4.5111,2022-11-25
dolar australijski,AUD,3.0387,2022-11-25
dolar Hongkongu,HKD,0.5774,2022-11-25
dolar kanadyjski,CAD,3.3755,2022-11-25
dolar nowozelandzki,NZD,2.8121,2022-11-25
dolar singapurski,SGD,3.2809,2022-11-25
euro,EUR,4.6884,2022-11-25
forint (Węgry),HUF,0.011363,2022-11-25
frank szwajcarski,CHF,4.7729,2022-11-25
funt szterling,GBP,5.4497,2022-11-25
hrywna (Ukraina),UAH,0.1258,2022-11-25
jen (Japonia),JPY,0.032361,2022-11-25
korona czeska,CZK,0.1924,2022-11-25
korona duńska,DKK,0.6305,2022-11-25
korona islandzka,ISK,0.032003,2022-11-25
korona norweska,NOK,0.4549,2022-11-25
korona szwedzka,SEK,0.4325,2022-11-25
kuna (Chorwacja),HRK,0.6212,2022-11-25
lej rumuński,RON,0.9529,2022-11-25
lew (Bułgaria),BGN,2.3971,2022-11-25
lira turecka,TRY,0.2421,2022-11-25
nowy izraelski szekel,ILS,1.3166,2022-11-25
peso chilijskie,CLP,0.004955,2022-11-25
peso filipińskie,PHP,0.0796,2022-11-25
peso meksykańskie,MXN,0.2326,2022-11-25
rand (Republika Południowej Afryki),ZAR,0.2632,2022-11-25
real (Brazylia),BRL,0.8478,2022-11-25
ringgit (Malezja),MYR,1.0064,2022-11-25
rupia indonezyjska,IDR,0.00028784,2022-11-25
rupia indyjska,INR,0.055233,2022-11-25
won południowokoreański,KRW,0.003388,2022-11-25
yuan renminbi (Chiny),CNY,0.6295,2022-11-25
SDR (MFW),XDR,5.9433,2022-11-25
bat (Tajlandia),THB,0.1261,2022-11-28
dolar amerykański,USD,4.4827,2022-11-28
dolar australijski,AUD,3.0029,2022-11-28
dolar Hongkongu,HKD,0.5738,2022-11-28
dolar kanadyjski,CAD,3.3343,2022-11-28
dolar nowozelandzki,NZD,2.7915,2022-11-28
dolar singapurski,SGD,3.2634,2022-11-28
euro,EUR,4.6835,2022-11-28
forint (Węgry),HUF,0.011471,2022-11-28
frank szwajcarski,CHF,4.7555,2022-11-28
funt szterling,GBP,5.4185,2022-11-28
hrywna (Ukraina),UAH,0.1258,2022-11-28
jen (Japonia),JPY,0.032537,2022-11-28
korona czeska,CZK,0.1924,2022-11-28
korona duńska,DKK,0.6298,2022-11-28
korona islandzka,ISK,0.031969,2022-11-28
korona norweska,NOK,0.4523,2022-11-28
korona szwedzka,SEK,0.4313,2022-11-28
kuna (Chorwacja),HRK,0.6204,2022-11-28
lej rumuński,RON,0.951,2022-11-28
lew (Bułgaria),BGN,2.3946,2022-11-28
lira turecka,TRY,0.2406,2022-11-28
nowy izraelski szekel,ILS,1.3008,2022-11-28
peso chilijskie,CLP,0.004861,2022-11-28
peso filipińskie,PHP,0.0792,2022-11-28
peso meksykańskie,MXN,0.2319,2022-11-28
rand (Republika Południowej Afryki),ZAR,0.2617,2022-11-28
real (Brazylia),BRL,0.8286,2022-11-28
ringgit (Malezja),MYR,1.0006,2022-11-28
rupia indonezyjska,IDR,0.00028511,2022-11-28
rupia indyjska,INR,0.054898,2022-11-28
won południowokoreański,KRW,0.003358,2022-11-28
yuan renminbi (Chiny),CNY,0.6231,2022-11-28
SDR (MFW),XDR,5.9371,2022-11-28
bat (Tajlandia),THB,0.1275,2022-11-29
dolar amerykański,USD,4.5164,2022-11-29
dolar australijski,AUD,3.0344,2022-11-29
dolar Hongkongu,HKD,0.5782,2022-11-29
dolar kanadyjski,CAD,3.3571,2022-11-29
dolar nowozelandzki,NZD,2.8127,2022-11-29
dolar singapurski,SGD,3.2885,2022-11-29
euro,EUR,4.6813,2022-11-29
forint (Węgry),HUF,0.011472,2022-11-29
frank szwajcarski,CHF,4.7449,2022-11-29
funt szterling,GBP,5.4141,2022-11-29
hrywna (Ukraina),UAH,0.1258,2022-11-29
jen (Japonia),JPY,0.032702,2022-11-29
korona czeska,CZK,0.1924,2022-11-29
korona duńska,DKK,0.6295,2022-11-29
korona islandzka,ISK,0.031824,2022-11-29
korona norweska,NOK,0.453,2022-11-29
korona szwedzka,SEK,0.4294,2022-11-29
kuna (Chorwacja),HRK,0.6201,2022-11-29
lej rumuński,RON,0.9512,2022-11-29
lew (Bułgaria),BGN,2.3935,2022-11-29
lira turecka,TRY,0.2423,2022-11-29
nowy izraelski szekel,ILS,1.3135,2022-11-29
peso chilijskie,CLP,0.004944,2022-11-29
peso filipińskie,PHP,0.0798,2022-11-29
peso meksykańskie,MXN,0.2356,2022-11-29
rand (Republika Południowej Afryki),ZAR,0.2654,2022-11-29
real (Brazylia),BRL,0.8417,2022-11-29
ringgit (Malezja),MYR,1.0018,2022-11-29
rupia indonezyjska,IDR,0.0002869,2022-11-29
rupia indyjska,INR,0.055266,2022-11-29
won południowokoreański,KRW,0.0034,2022-11-29
yuan renminbi (Chiny),CNY,0.6299,2022-11-29
SDR (MFW),XDR,5.893,2022-11-29
bat (Tajlandia),THB,0.1278,2022-11-30
dolar amerykański,USD,4.5066,2022-11-30
dolar australijski,AUD,3.0307,2022-11-30
dolar Hongkongu,HKD,0.5779,2022-11-30
dolar kanadyjski,CAD,3.3309,2022-11-30
dolar nowozelandzki,NZD,2.8114,2022-11-30
dolar singapurski,SGD,3.2955,2022-11-30
euro,EUR,4.6684,2022-11-30
forint (Węgry),HUF,0.011449,2022-11-30
frank szwajcarski,CHF,4.7421,2022-11-30
funt szterling,GBP,5.4151,2022-11-30
hrywna (Ukraina),UAH,0.1258,2022-11-30
jen (Japonia),JPY,0.032466,2022-11-30
korona czeska,CZK,0.1916,2022-11-30
korona duńska,DKK,0.6277,2022-11-30
korona islandzka,ISK,0.031736,2022-11-30
korona norweska,NOK,0.454,2022-11-30
korona szwedzka,SEK,0.4272,2022-11-30
kuna (Chorwacja),HRK,0.6184,2022-11-30
lej rumuński,RON,0.9479,2022-11-30
lew (Bułgaria),BGN,2.3869,2022-11-30
lira turecka,TRY,0.2418,2022-11-30
nowy izraelski szekel,ILS,1.3114,2022-11-30
peso chilijskie,CLP,0.005001,2022-11-30
peso filipińskie,PHP,0.0797,2022-11-30
peso meksykańskie,MXN,0.2344,2022-11-30
rand (Republika Południowej Afryki),ZAR,0.266,2022-11-30
real (Brazylia),BRL,0.8551,2022-11-30
ringgit (Malezja),MYR,1.0133,2022-11-30
rupia indonezyjska,IDR,0.00028647,2022-11-30
rupia indyjska,INR,0.055339,2022-11-30
won południowokoreański,KRW,0.003427,2022-11-30
yuan renminbi (Chiny),CNY,0.6351,2022-11-30
SDR (MFW),XDR,5.9188,2022-11-30
bat (Tajlandia),THB,0.1284,2022-12-01
dolar amerykański,USD,4.4911,2022-12-01
dolar australijski,AUD,3.0565,2022-12-01
dolar Hongkongu,HKD,0.577,2022-12-01
dolar kanadyjski,CAD,3.3455,2022-12-01
dolar nowozelandzki,NZD,2.8481,2022-12-01
dolar singapurski,SGD,3.3075,2022-12-01
euro,EUR,4.6892,2022-12-01
forint (Węgry),HUF,0.011438,2022-12-01
frank szwajcarski,CHF,4.758,2022-12-01
funt szterling,GBP,5.4564,2022-12-01
hrywna (Ukraina),UAH,0.1258,2022-12-01
jen (Japonia),JPY,0.03294,2022-12-01
korona czeska,CZK,0.1925,2022-12-01
korona duńska,DKK,0.6306,2022-12-01
korona islandzka,ISK,0.031492,2022-12-01
korona norweska,NOK,0.4574,2022-12-01
korona szwedzka,SEK,0.4291,2022-12-01
kuna (Chorwacja),HRK,0.621,2022-12-01
lej rumuński,RON,0.9515,2022-12-01
lew (Bułgaria),BGN,2.3975,2022-12-01
lira turecka,TRY,0.241,2022-12-01
nowy izraelski szekel,ILS,1.3135,2022-12-01
peso chilijskie,CLP,0.005043,2022-12-01
peso filipińskie,PHP,0.0799,2022-12-01
peso meksykańskie,MXN,0.2332,2022-12-01
rand (Republika Południowej Afryki),ZAR,0.2596,2022-12-01
real (Brazylia),BRL,0.8661,2022-12-01
ringgit (Malezja),MYR,1.0195,2022-12-01
rupia indonezyjska,IDR,0.00028859,2022-12-01
rupia indyjska,INR,0.055299,2022-12-01
won południowokoreański,KRW,0.00344,2022-12-01
yuan renminbi (Chiny),CNY,0.6335,2022-12-01
SDR (MFW),XDR,5.9421,2022-12-01
bat (Tajlandia),THB,0.128,2022-12-02
dolar amerykański,USD,4.4492,2022-12-02
dolar australijski,AUD,3.0352,2022-12-02
dolar Hongkongu,HKD,0.5719,2022-12-02
dolar kanadyjski,CAD,3.3118,2022-12-02
dolar nowozelandzki,NZD,2.8509,2022-12-02
dolar singapurski,SGD,3.2971,2022-12-02
euro,EUR,4.685,2022-12-02
forint (Węgry),HUF,0.011458,2022-12-02
frank szwajcarski,CHF,4.7576,2022-12-02
funt szterling,GBP,5.461,2022-12-02
hrywna (Ukraina),UAH,0.1258,2022-12-02
jen (Japonia),JPY,0.033203,2022-12-02
korona czeska,CZK,0.1922,2022-12-02
korona duńska,DKK,0.63,2022-12-02
korona islandzka,ISK,0.031506,2022-12-02
korona norweska,NOK,0.4566,2022-12-02
korona szwedzka,SEK,0.4315,2022-12-02
kuna (Chorwacja),HRK,0.6207,2022-12-02
lej rumuński,RON,0.9502,2022-12-02
lew (Bułgaria),BGN,2.3954,2022-12-02
lira turecka,TRY,0.2387,2022-12-02
nowy izraelski szekel,ILS,1.3153,2022-12-02
peso chilijskie,CLP,0.005058,2022-12-02
peso filipińskie,PHP,0.0798,2022-12-02
peso meksykańskie,MXN,0.2326,2022-12-02
rand (Republika Południowej Afryki),ZAR,0.2564,2022-12-02
real (Brazylia),BRL,0.858,2022-12-02
ringgit (Malezja),MYR,1.0139,2022-12-02
rupia indonezyjska,IDR,0.00028839,2022-12-02
rupia indyjska,INR,0.054709,2022-12-02
won południowokoreański,KRW,0.003427,2022-12-02
yuan renminbi (Chiny),CNY,0.6336,2022-12-02
SDR (MFW),XDR,5.9195,2022-12-02
bat (Tajlandia),THB,0.128,2022-12-05
dolar amerykański,USD,4.4415,2022-12-05
dolar australijski,AUD,3.0271,2022-12-05
dolar Hongkongu,HKD,0.5719,2022-12-05
dolar kanadyjski,CAD,3.3098,2022-12-05
dolar nowozelandzki,NZD,2.8451,2022-12-05
dolar singapurski,SGD,3.2941,2022-12-05
euro,EUR,4.6898,2022-12-05
forint (Węgry),HUF,0.01146,2022-12-05
frank szwajcarski,CHF,4.7542,2022-12-05
funt szterling,GBP,5.4558,2022-12-05
hrywna (Ukraina),UAH,0.1258,2022-12-05
jen (Japonia),JPY,0.032842,2022-12-05
korona czeska,CZK,0.1924,2022-12-05
korona duńska,DKK,0.6306,2022-12-05
korona islandzka,ISK,0.031539,2022-12-05
korona norweska,NOK,0.4557,2022-12-05
korona szwedzka,SEK,0.4312,2022-12-05
kuna (Chorwacja),HRK,0.6211,2022-12-05
lej rumuński,RON,0.9526,2022-12-05
lew (Bułgaria),BGN,2.3979,2022-12-05
lira turecka,TRY,0.2383,2022-12-05
nowy izraelski szekel,ILS,1.3118,2022-12-05
peso chilijskie,CLP,0.005027,2022-12-05
peso filipińskie,PHP,0.0794,2022-12-05
peso meksykańskie,MXN,0.2274,2022-12-05
rand (Republika Południowej Afryki),ZAR,0.2577,2022-12-05
real (Brazylia),BRL,0.851,2022-12-05
ringgit (Malezja),MYR,1.0166,2022-12-05
rupia indonezyjska,IDR,0.00028715,2022-12-05
rupia indyjska,INR,0.054308,2022-12-05
won południowokoreański,KRW,0.003425,2022-12-05
yuan renminbi (Chiny),CNY,0.6388,2022-12-05
SDR (MFW),XDR,5.9117,2022-12-05
bat (Tajlandia),THB,0.1278,2022-12-06
dolar amerykański,USD,4.4787,2022-12-06
dolar australijski,AUD,3.0072,2022-12-06
dolar Hongkongu,HKD,0.5755,2022-12-06
dolar kanadyjski,CAD,3.2907,2022-12-06
dolar nowozelandzki,NZD,2.8303,2022-12-06
dolar singapurski,SGD,3.3001,2022-12-06
euro,EUR,4.6995,2022-12-06
forint (Węgry),HUF,0.011341,2022-12-06
frank szwajcarski,CHF,4.7472,2022-12-06
funt szterling,GBP,5.4534,2022-12-06
hrywna (Ukraina),UAH,0.1258,2022-12-06
jen (Japonia),JPY,0.032741,2022-12-06
korona czeska,CZK,0.1931,2022-12-06
korona duńska,DKK,0.6318,2022-12-06
korona islandzka,ISK,0.031561,2022-12-06
korona norweska,NOK,0.4505,2022-12-06
korona szwedzka,SEK,0.4318,2022-12-06
kuna (Chorwacja),HRK,0.622,2022-12-06
lej rumuński,RON,0.9563,2022-12-06
lew (Bułgaria),BGN,2.4028,2022-12-06
lira turecka,TRY,0.2403,2022-12-06
nowy izraelski szekel,ILS,1.3151,2022-12-06
peso chilijskie,CLP,0.004998,2022-12-06
peso filipińskie,PHP,0.0801,2022-12-06
peso meksykańskie,MXN,0.2275,2022-12-06
rand (Republika Południowej Afryki),ZAR,0.2582,2022-12-06
real (Brazylia),BRL,0.8481,2022-12-06
ringgit (Malezja),MYR,1.0189,2022-12-06
rupia indonezyjska,IDR,0.00028677,2022-12-06
rupia indyjska,INR,0.054226,2022-12-06
won południowokoreański,KRW,0.003391,2022-12-06
yuan renminbi (Chiny),CNY,0.6406,2022-12-06
SDR (MFW),XDR,5.9045,2022-12-06
bat (Tajlandia),THB,0.1277,2022-12-07
dolar amerykański,USD,4.4834,2022-12-07
dolar australijski,AUD,2.9926,2022-12-07
dolar Hongkongu,HKD,0.5754,2022-12-07
dolar kanadyjski,CAD,3.2749,2022-12-07
dolar nowozelandzki,NZD,2.8343,2022-12-07
dolar singapurski,SGD,3.2973,2022-12-07
euro,EUR,4.6968,2022-12-07
forint (Węgry),HUF,0.011445,2022-12-07
frank szwajcarski,CHF,4.7608,2022-12-07
funt szterling,GBP,5.438,2022-12-07
hrywna (Ukraina),UAH,0.1258,2022-12-07
jen (Japonia),JPY,0.032578,2022-12-07
korona czeska,CZK,0.1931,2022-12-07
korona duńska,DKK,0.6314,2022-12-07
korona islandzka,ISK,0.031543,2022-12-07
korona norweska,NOK,0.4454,2022-12-07
korona szwedzka,SEK,0.4304,2022-12-07
kuna (Chorwacja),HRK,0.6217,2022-12-07
lej rumuński,RON,0.9553,2022-12-07
lew (Bułgaria),BGN,2.4014,2022-12-07
lira turecka,TRY,0.2405,2022-12-07
nowy izraelski szekel,ILS,1.3028,2022-12-07
peso chilijskie,CLP,0.005099,2022-12-07
peso filipińskie,PHP,0.0808,2022-12-07
peso meksykańskie,MXN,0.2265,2022-12-07
rand (Republika Południowej Afryki),ZAR,0.2584,2022-12-07
real (Brazylia),BRL,0.8563,2022-12-07
ringgit (Malezja),MYR,1.0195,2022-12-07
rupia indonezyjska,IDR,0.00028671,2022-12-07
rupia indyjska,INR,0.054356,2022-12-07
won południowokoreański,KRW,0.003392,2022-12-07
yuan renminbi (Chiny),CNY,0.6422,2022-12-07
SDR (MFW),XDR,5.9228,2022-12-07
bat (Tajlandia),THB,0.1285,2022-12-08
dolar amerykański,USD,4.476,2022-12-08
dolar australijski,AUD,3.0068,2022-12-08
dolar Hongkongu,HKD,0.5749,2022-12-08
dolar kanadyjski,CAD,3.2732,2022-12-08
dolar nowozelandzki,NZD,2.8413,2022-12-08
dolar singapurski,SGD,3.2975,2022-12-08
euro,EUR,4.6976,2022-12-08
forint (Węgry),HUF,0.011334,2022-12-08
frank szwajcarski,CHF,4.7496,2022-12-08
funt szterling,GBP,5.4484,2022-12-08
hrywna (Ukraina),UAH,0.1258,2022-12-08
jen (Japonia),JPY,0.032674,2022-12-08
korona czeska,CZK,0.1931,2022-12-08
korona duńska,DKK,0.6316,2022-12-08
korona islandzka,ISK,0.031464,2022-12-08
korona norweska,NOK,0.446,2022-12-08
korona szwedzka,SEK,0.4301,2022-12-08
kuna (Chorwacja),HRK,0.622,2022-12-08
lej rumuński,RON,0.9553,2022-12-08
lew (Bułgaria),BGN,2.4018,2022-12-08
lira turecka,TRY,0.2401,2022-12-08
nowy izraelski szekel,ILS,1.3008,2022-12-08
peso chilijskie,CLP,0.005163,2022-12-08
peso filipińskie,PHP,0.0809,2022-12-08
peso meksykańskie,MXN,0.2274,2022-12-08
rand (Republika Południowej Afryki),ZAR,0.26,2022-12-08
real (Brazylia),BRL,0.8599,2022-12-08
ringgit (Malezja),MYR,1.0179,2022-12-08
rupia indonezyjska,IDR,0.00028655,2022-12-08
rupia indyjska,INR,0.0543,2022-12-08
won południowokoreański,KRW,0.00339,2022-12-08
yuan renminbi (Chiny),CNY,0.6421,2022-12-08
SDR (MFW),XDR,5.9059,2022-12-08
bat (Tajlandia),THB,0.1274,2022-12-09
dolar amerykański,USD,4.4351,2022-12-09
dolar australijski,AUD,2.9978,2022-12-09
dolar Hongkongu,HKD,0.5694,2022-12-09
dolar kanadyjski,CAD,3.252,2022-12-09
dolar nowozelandzki,NZD,2.8264,2022-12-09
dolar singapurski,SGD,3.2805,2022-12-09
euro,EUR,4.6821,2022-12-09
forint (Węgry),HUF,0.01128,2022-12-09
frank szwajcarski,CHF,4.7474,2022-12-09
funt szterling,GBP,5.4317,2022-12-09
hrywna (Ukraina),UAH,0.1258,2022-12-09
jen (Japonia),JPY,0.03256,2022-12-09
korona czeska,CZK,0.1926,2022-12-09
korona duńska,DKK,0.6295,2022-12-09
korona islandzka,ISK,0.03136,2022-12-09
korona norweska,NOK,0.4446,2022-12-09
korona szwedzka,SEK,0.4292,2022-12-09
kuna (Chorwacja),HRK,0.6199,2022-12-09
lej rumuński,RON,0.9517,2022-12-09
lew (Bułgaria),BGN,2.3939,2022-12-09
lira turecka,TRY,0.2378,2022-12-09
nowy izraelski szekel,ILS,1.296,2022-12-09
peso chilijskie,CLP,0.005133,2022-12-09
peso filipińskie,PHP,0.0801,2022-12-09
peso meksykańskie,MXN,0.2252,2022-12-09
rand (Republika Południowej Afryki),ZAR,0.2575,2022-12-09
real (Brazylia),BRL,0.8487,2022-12-09
ringgit (Malezja),MYR,1.0068,2022-12-09
rupia indonezyjska,IDR,0.00028462,2022-12-09
rupia indyjska,INR,0.053902,2022-12-09
won południowokoreański,KRW,0.003403,2022-12-09
yuan renminbi (Chiny),CNY,0.6379,2022-12-09
SDR (MFW),XDR,5.8991,2022-12-09
bat (Tajlandia),THB,0.1279,2022-12-12
dolar amerykański,USD,4.4424,2022-12-12
dolar australijski,AUD,3.0177,2022-12-12
dolar Hongkongu,HKD,0.5719,2022-12-12
dolar kanadyjski,CAD,3.252,2022-12-12
dolar nowozelandzki,NZD,2.8517,2022-12-12
dolar singapurski,SGD,3.2848,2022-12-12
euro,EUR,4.6912,2022-12-12
forint (Węgry),HUF,0.011232,2022-12-12
frank szwajcarski,CHF,4.7624,2022-12-12
funt szterling,GBP,5.453,2022-12-12
hrywna (Ukraina),UAH,0.1258,2022-12-12
jen (Japonia),JPY,0.032511,2022-12-12
korona czeska,CZK,0.1929,2022-12-12
korona duńska,DKK,0.6307,2022-12-12
korona islandzka,ISK,0.031337,2022-12-12
korona norweska,NOK,0.444,2022-12-12
korona szwedzka,SEK,0.4305,2022-12-12
kuna (Chorwacja),HRK,0.6211,2022-12-12
lej rumuński,RON,0.9525,2022-12-12
lew (Bułgaria),BGN,2.3985,2022-12-12
lira turecka,TRY,0.2383,2022-12-12
nowy izraelski szekel,ILS,1.2924,2022-12-12
peso chilijskie,CLP,0.005154,2022-12-12
peso filipińskie,PHP,0.0798,2022-12-12
peso meksykańskie,MXN,0.225,2022-12-12
rand (Republika Południowej Afryki),ZAR,0.2546,2022-12-12
real (Brazylia),BRL,0.8477,2022-12-12
ringgit (Malezja),MYR,1.0058,2022-12-12
rupia indonezyjska,IDR,0.00028427,2022-12-12
rupia indyjska,INR,0.053818,2022-12-12
won południowokoreański,KRW,0.003403,2022-12-12
yuan renminbi (Chiny),CNY,0.637,2022-12-12
SDR (MFW),XDR,5.9106,2022-12-12
bat (Tajlandia),THB,0.1279,2022-12-13
dolar amerykański,USD,4.4527,2022-12-13
dolar australijski,AUD,3.0124,2022-12-13
dolar Hongkongu,HKD,0.5725,2022-12-13
dolar kanadyjski,CAD,3.2684,2022-12-13
dolar nowozelandzki,NZD,2.8463,2022-12-13
dolar singapurski,SGD,3.2841,2022-12-13
euro,EUR,4.6945,2022-12-13
forint (Węgry),HUF,0.011417,2022-12-13
frank szwajcarski,CHF,4.7551,2022-12-13
funt szterling,GBP,5.4638,2022-12-13
hrywna (Ukraina),UAH,0.1258,2022-12-13
jen (Japonia),JPY,0.03234,2022-12-13
korona czeska,CZK,0.1933,2022-12-13
korona duńska,DKK,0.6311,2022-12-13
korona islandzka,ISK,0.031151,2022-12-13
korona norweska,NOK,0.4472,2022-12-13
korona szwedzka,SEK,0.4312,2022-12-13
kuna (Chorwacja),HRK,0.6218,2022-12-13
lej rumuński,RON,0.9521,2022-12-13
lew (Bułgaria),BGN,2.4002,2022-12-13
lira turecka,TRY,0.2388,2022-12-13
nowy izraelski szekel,ILS,1.2969,2022-12-13
peso chilijskie,CLP,0.005134,2022-12-13
peso filipińskie,PHP,0.0798,2022-12-13
peso meksykańskie,MXN,0.2241,2022-12-13
rand (Republika Południowej Afryki),ZAR,0.2516,2022-12-13
real (Brazylia),BRL,0.8365,2022-12-13
ringgit (Malezja),MYR,1.0054,2022-12-13
rupia indonezyjska,IDR,0.00028439,2022-12-13
rupia indyjska,INR,0.053773,2022-12-13
won południowokoreański,KRW,0.003403,2022-12-13
yuan renminbi (Chiny),CNY,0.638,2022-12-13
SDR (MFW),XDR,5.9302,2022-12-13
bat (Tajlandia),THB,0.1272,2022-12-14
dolar amerykański,USD,4.3973,2022-12-14
dolar australijski,AUD,3.0206,2022-12-14
dolar Hongkongu,HKD,0.5657,2022-12-14
dolar kanadyjski,CAD,3.2481,2022-12-14
dolar nowozelandzki,NZD,2.837,2022-12-14
dolar singapurski,SGD,3.2666,2022-12-14
euro,EUR,4.6886,2022-12-14
forint (Węgry),HUF,0.011473,2022-12-14
frank szwajcarski,CHF,4.7439,2022-12-14
funt szterling,GBP,5.449,2022-12-14
hrywna (Ukraina),UAH,0.1258,2022-12-14
jen (Japonia),JPY,0.032516,2022-12-14
korona czeska,CZK,0.1931,2022-12-14
korona duńska,DKK,0.6303,2022-12-14
korona islandzka,ISK,0.03103,2022-12-14
korona norweska,NOK,0.4514,2022-12-14
korona szwedzka,SEK,0.4315,2022-12-14
kuna (Chorwacja),HRK,0.6218,2022-12-14
lej rumuński,RON,0.9516,2022-12-14
lew (Bułgaria),BGN,2.3972,2022-12-14
lira turecka,TRY,0.2358,2022-12-14
nowy izraelski szekel,ILS,1.2893,2022-12-14
peso chilijskie,CLP,0.005129,2022-12-14
peso filipińskie,PHP,0.079,2022-12-14
peso meksykańskie,MXN,0.2253,2022-12-14
rand (Republika Południowej Afryki),ZAR,0.2566,2022-12-14
real (Brazylia),BRL,0.8306,2022-12-14
ringgit (Malezja),MYR,1.0013,2022-12-14
rupia indonezyjska,IDR,0.00028201,2022-12-14
rupia indyjska,INR,0.053334,2022-12-14
won południowokoreański,KRW,0.003403,2022-12-14
yuan renminbi (Chiny),CNY,0.6329,2022-12-14
SDR (MFW),XDR,5.8514,2022-12-14
bat (Tajlandia),THB,0.1263,2022-12-15
dolar amerykański,USD,4.41,2022-12-15
dolar australijski,AUD,2.9872,2022-12-15
dolar Hongkongu,HKD,0.5671,2022-12-15
dolar kanadyjski,CAD,3.2488,2022-12-15
dolar nowozelandzki,NZD,2.8136,2022-12-15
dolar singapurski,SGD,3.255,2022-12-15
euro,EUR,4.6843,2022-12-15
forint (Węgry),HUF,0.011545,2022-12-15
frank szwajcarski,CHF,4.7482,2022-12-15
funt szterling,GBP,5.4418,2022-12-15
hrywna (Ukraina),UAH,0.1258,2022-12-15
jen (Japonia),JPY,0.032291,2022-12-15
korona czeska,CZK,0.1929,2022-12-15
korona duńska,DKK,0.6297,2022-12-15
korona islandzka,ISK,0.031042,2022-12-15
korona norweska,NOK,0.4496,2022-12-15
korona szwedzka,SEK,0.4294,2022-12-15
kuna (Chorwacja),HRK,0.6212,2022-12-15
lej rumuński,RON,0.9514,2022-12-15
lew (Bułgaria),BGN,2.395,2022-12-15
